Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
SKRILLEXBUNDEM003,Skrillex & Damian Marley,Make It Bun Dem,Not On Label,"12"", Unofficial",,2012,3729932,Uncategorized,2017-02-25 22:46:40,,,
SKRILLEXREMIX002,Skrillex,The Best Of Skrillex Vol.1,Not On Label,"2x12"", Ltd, Unofficial, Flu",,2012,3631287,Uncategorized,2013-08-31 18:47:48,,,
2003,Blackstreet,No Diggity,Not On Label (Blackstreet),"12"", S/Sided, W/Lbl",,0,665503,Uncategorized,2017-02-26 17:37:22,,,
SMC 001,La Roux,In For The Kill (Skream's Let's Get Ravey Remix),Not On Label (La Roux),"12"", S/Sided, Ltd, RP, Unofficial, W/Lbl",,2009,1788170,Uncategorized,2013-08-09 17:11:20,,,
NMBRS30,Rustie,Triadzz / Slasherr,Numbers.,"12"", Single",,2013,4443410,Uncategorized,2013-07-16 13:39:53,,,
OGS 002 P2,DJ Hatcha & Lost (11),Work Out,One Gun Salute,"12""",,2010,2568408,Uncategorized,2017-02-25 22:44:22,,,
OM058,Darren Keen,He's Not Real,Orange Milk Records,"LP, Album",,2015,7392337,Uncategorized,2017-02-25 22:18:21,,,
PLR26 / QOC004,Cherushii,3 EPs,Perfect Location Records,"3x12"", Album, RE",,2022,22814573,Uncategorized,2023-01-13 16:31:58,Near Mint (NM or M-),Near Mint (NM or M-),
PLAYLP007,deadmau5,At Play In The USA Vol. 1,Play Records (8),"LP, Red + LP, Blu + Comp, Ltd, Num",,2013,4722972,Uncategorized,2017-02-25 22:26:30,,,
SGL003,"DJ Ashre Finix, Bubble Keiki バブル景気",リサフランク420 / 現代のコンピュー (Remixes),Qrates,"7"", Single, Gol",,2018,12706764,Uncategorized,2023-02-06 06:04:04,Near Mint (NM or M-),Very Good (VG),
QRK004,Alexander Skancke,Elevate,Quirk (2),"12"", EP",,2022,20636080,Uncategorized,2023-01-13 16:31:58,Near Mint (NM or M-),Near Mint (NM or M-),
RAVE4EVAR002,Dev/Null,Microjunglizm,RAVE4EVAR,"LP, Album",,2021,21128983,Uncategorized,2023-01-15 05:37:52,,,
RINSE024,Royal T (2),I Know You Want Me,Rinse Recordings,"12"", EP",,2013,4557847,Uncategorized,2013-08-18 03:48:27,,,
RC40,Arbol Trancemissions / Floating,Relic Grove Bliss,Rotifer Cassettes,"7"", Ltd",,2011,2775032,Uncategorized,2023-01-24 06:01:18,Very Good Plus (VG+),Very Good Plus (VG+),
"SBR-3030, SBR3030",Mort Garson,Mother Earth's Plantasia,"Sacred Bones Records, Sacred Bones Records","LP, Album, Ltd, RE, RM, Cal",,2022,23728982,Uncategorized,2023-01-13 16:31:56,Mint (M),Near Mint (NM or M-),
REDSEAL909,ASC,Polemic / Oracle / 909 Rhythm Track,Samurai Red Seal,"12"", Ltd, Blu",,2013,4583487,Uncategorized,2017-02-26 04:03:33,,,
STRT 007,Doshy,Hijacked,SATURATE!RECORDS,"7"", EP, Ltd",,2013,5373649,Uncategorized,2017-02-25 22:51:30,,,
"STRT 008, STRTLP008",G Jones,Ring The Alarm ,"SATURATE!RECORDS, SATURATE!RECORDS","7"", Ltd",,2014,6257593,Uncategorized,2017-02-25 22:51:16,,,
SHBN 001,Digital / Alpha V & Hellen,Fool Bwoy / Sound Witch Project,Shee Been Records,"12""",,2001,105374,Uncategorized,2017-02-26 04:01:44,,,
SHA036,Icicle,Xylophobia / Minimal Dub,Shogun Audio,"12""",,2010,2416965,Uncategorized,2017-02-26 03:58:34,,,
SHA040,Icicle,Dreadnaught / Arrows,Shogun Audio,"12""",,2011,2731850,Uncategorized,2017-02-26 03:58:48,,,
SHA055,Icicle,BNC EP,Shogun Audio,"2x12"", EP",,2012,3608394,Uncategorized,2013-07-27 17:56:19,,,
SHA063,DJ Friction & Skream,Kingpin,Shogun Audio,"12""",,2013,4402656,Uncategorized,2013-07-27 17:56:50,,,
S160 012,OutKast,Aquemini,Simply Vinyl,"2xLP, Album, RE",,2003,604180,Uncategorized,2017-02-26 03:54:12,,,
